通し番号,見出し,表記,品詞,語種,語彙配当,国語研,初級500語,七種対照,工藤,木幡,玉村
69400,つやつや,,副,W,2,,,,○,○,
69410,つゆ,露,名,W,1,○,,○,○,○,
69420,つゆ,《梅雨》,名,W,1,◎,,○,○,○,○
69430,つゆ,露,副,W,3,,,○,,○,
69440,つよい,強い,形,W,1,◎,○,○,○,○,○
69450,つよがり,強がり,名,W,,,,,○,○,
69460,つよき,強気,名,H,3,○,,,,,
69470,つよさ,強さ,名,W,2,○,,○,,,
69480,つよまる,強まる,五自,W,1,○,,,,○,
69490,つよめる,強める,下一他,W,1,○,,○,○,○,
69500,つらい,△辛い,形,W,1,◎,,○,○,○,○
69510,づらい,△辛い,接尾,W,,,,○,,,
69520,つらなる,連なる・△列なる,五自,W,2,,,○,,,
69530,つらぬく,貫く,五他,W,2,○,,,,,
69540,つらねる,連ねる・△列ねる,下一他,W,2,○,,,,,
69550,つらら,〈氷柱〉,名,W,1,,,,○,○,
69560,つられる,,連語,W,,,,,○,○,
69570,つり,釣り,名,W,1,○,,○,○,○,○
69580,つりあい,釣り合い,名,W,1,,,○,,,○
69590,つりあう,釣り合う,五自,W,1,○,,○,○,○,○
69600,つりあげる,×吊り上げる・釣り上げる,下一他,W,1,,,,○,○,
69610,つりかわ,×吊革,名,W,1,,,,○,○,
69620,つりさげる,吊り下げる・釣り下げる,下一他,W,,,,,○,○,
69630,つりせん,釣銭,名,H,2,,,,,,○
69640,つりばし,×吊橋・釣橋,名,W,2,,,,○,○,
69650,つりぼり,釣堀,名,W,2,,,,○,○,
69660,つる,×吊る,五自他,W,1,○,,○,○,○,○
69670,つる,釣る,五他,W,1,○,,○,○,○,○
69680,つる,×蔓,名,W,1,,,○,○,○,
69690,つる,×鶴,名,W,1,○,,,○,○,○
69700,つるす,×吊るす,五他,W,1,○,,○,○,○,○
69710,つるつる,,副,W,1,,,,○,○,
69720,つれ,連れ,名,W,1,○,,,,○,
69730,つれだつ,連れ立つ,五自,W,1,,,○,,,
69740,つれて,連れて,連語,W,,,,○,,,○
69750,つれていく,,連語,W,,,,○,,,○
69760,つれてくる,,連語,W,,,,○,,,○
69770,つれる,連れる,下一自他,W,1,◎,,○,○,○,○
69780,つれる,釣れる,下一自,W,,,,,,○,
69790,つんつんつばき,,名,W,,,,,,○,
69800,つんぼ,×聾,名,W,1,,,○,,○,
69810,て,,接助・終助,W,1,,,○,○,○,○
69820,て,手,名・接頭・接尾,W,1,◎,○,○,○,○,○
69830,で,,格助・接助・助動,W,1,,,○,○,○,○
69840,で,出,名,W,1,,,,,○,
69850,で,,接,W,2,◎,,○,○,,
69860,であう,出合う・出会う,五自,W,1,○,,○,○,○,
69870,てあげる,,連語,W,,,,,,,○
69880,てあし,手足,名,W,1,○,,,,,
69890,てあて,手当,名,W,1,○,,○,○,○,○
69900,てあらい,手洗い,名,W,1,○,,○,,,○
69910,てある,,連語,W,,,,,,,○
69920,である,,連語,W,1,,,,,○,
69930,てい,低,接頭,K,2,○,,,,,
69940,ていあん,提案,名・ス他,K,3,○,,,,,
69950,ティーバッグ,tea bag,名,G,,,,,○,○,
69960,ていいん,定員,名,K,2,○,,,,,
69970,ていえん,庭園,名,K,3,,,,○,○,
69980,ていおん,低温,名,K,2,,,○,,,
69990,ていか,定価,名,K,2,○,,,,,○
70000,ていか,低下,名・ス自,K,3,○,,○,,,○
70010,ていき,定期,名,K,2,○,,○,,,○
70020,ていきけん,定期券,名,K,2,○,,,○,○,
70030,ていきゅうび,定休日,名,H,3,○,,,,,
70040,ていきょう,提供,名・ス他,K,3,○,,,○,,
70050,ていく,,連語,W,,,,,,,○
70060,ていこう,抵抗,名・ス自,K,3,○,,○,,,○
70070,ていさい,体裁,名,K,2,○,,○,○,○,○
70080,ていし,停止,名・ス自他,K,2,○,,○,,,○
70090,ていしゃ,停車,名・ス自,K,2,○,,○,,,○
70100,ていしゃじょう,停車場,名,K,1,,,○,,,
70110,ていしゅつ,提出,名・ス他,K,3,○,,○,,,○
70120,ていしょく,定食,名,K,3,○,,,,,
70130,ディスク,disk,名,G,,,,,,,○
70140,ていせい,訂正,名・ス他,K,3,◎,,○,○,,○
70150,ていちゃく,定着,名・ス自他,K,3,,,○,,,
70160,ティッシュペーパー,tissue paper,名,G,,,,,○,○,
70170,ティッチ,〔人名〕,名,G,,,,,,○,
70180,ていでん,停電,名・ス自,K,1,○,,○,○,○,○
70190,ていど,程度,名,K,2,◎,,○,○,○,○
70200,ていねい,丁寧・×叮×嚀,名・形動,K,1,◎,,○,○,○,○
70210,ティファニーちゃん,,名,H,,,,,,○,
70220,ていぼう,堤防,名,K,1,,,,○,○,
70230,でいり,出入り,名,W,1,○,,○,,,
70240,でいりぐち,出入り口,名,W,1,○,,○,,,
70250,ていりゅうじょ,停留所,名,K,1,○,,○,○,○,○
70260,ている,,連語,W,,,,,,,○
70270,ていれ,手入れ,名,W,2,○,,○,○,○,○
70280,デート,〔米〕date,名・ス自,G,3,○,,,,,
70290,テープ,tape,名,G,1,○,,○,○,○,○
70300,テーブル,table,名,G,1,◎,,○,○,○,○
70310,テーブルクロス,table cloth,名,G,,,,○,,,
70320,テープレコーダー,tape recorder,名,G,3,○,,○,○,○,○
70330,テーマ,〔独〕Thema,名,G,3,○,,,,,
70340,ておく,,連語,W,,,,,,,○
70350,ておくれ,手遅れ・手後れ,名,W,2,,,○,,,
70360,ておけ,手×桶,名,W,1,,,,○,○,
70370,てがかり,手掛かり・手懸かり,名,W,2,○,,,,,
70380,でかける,出掛ける,下一自,W,1,◎,,○,○,○,○
70390,てかず,手数,名,W,1,,,○,,,
70400,てがた,手形,名,W,3,,,,○,○,
70410,てがみ,手紙,名,W,1,◎,○,○,○,○,○
70420,てから,,連語,W,,,,○,,,○
70430,てがら,手柄,名,W,1,,,○,○,○,
70440,てがる,手軽,形動,W,2,○,,○,,,
70450,てき,敵,名,K,1,◎,,○,○,○,○
70460,てき,的,接尾,K,3,◎,,○,○,,○
70470,てき,滴,接尾,K,3,,,○,,,
70480,でき,出来,名,W,1,,,○,○,○,
70490,できあがり,出来上がり,名,W,1,○,,,,,
70500,できあがる,出来上がる,五自,W,1,○,,○,○,○,
70510,てきおう,適応,名・ス自,K,3,,,○,,,
70520,てきか,,名,K,,,,○,,,
70530,てきぎ,適宜,副・形動,K,3,○,,,,,
70540,できごと,出来事,名,W,1,○,,,○,○,
70550,テキスト,text,名,G,3,○,,,,,
70560,てきする,適する,サ変自,H,2,○,,○,○,○,
70570,てきせつ,適切,名・形動,K,3,○,,,,,
70580,できたて,出来立て,名,W,,,,,○,○,
70590,てきとう,適当,形動,K,2,◎,,○,○,○,○
70600,てきぱき,,副・ス自,W,2,,,,○,○,
70610,てきよう,適用,名・ス他,K,3,○,,○,,,
70620,できる,出来る,上一自,W,1,◎,○,○,○,○,○
70630,できるだけ,出来るだけ,連語,W,2,○,,○,,,
70640,てぎわ,手際,名,W,2,○,,,,,
70650,でぐち,出口,名,W,1,◎,○,○,○,○,○
70660,てくてく,,副,W,2,,,,○,○,
70670,てくび,手首,名,W,1,○,,,○,○,
70680,てくる,,連語,W,,,,,,,○
70690,てくれる,,連語,W,,,,,,,○
70700,てこ,×梃子・×梃,名,W,2,,,○,○,○,○
70710,てこずる,,五自,W,2,,,,○,○,
70720,でこぼこ,《凸凹》,名,W,1,○,,○,○,○,
70730,でこぼこみち,《凸凹》道,名,W,,,,,,○,
70740,デコレーションケーキ,〔和〕decoration cake,名,G,3,,,,○,○,
70750,てごろ,手×頃,名,W,2,,,,○,○,
70760,てごわい,手△強い,形,W,2,,,,○,○,
70770,デザート,dessert,名,G,3,,,,○,○,
70780,デザイン,design,名・ス他,G,3,○,,,○,○,
70790,てさき,手先,名,W,2,,,○,,,○
70800,てさぐり,手探り,名,W,1,,,,○,○,
70810,てさげ,手提げ,名,W,1,,,,○,○,
70820,てざわり,手触り,名,W,2,,,○,,,
70830,でし,弟子,名,K,2,○,,,,,
70840,てじな,手品,名,W,1,○,,,○,○,
70850,てしまう,,連語,W,,,,,,,○
70860,でしゃばり,,名,W,1,,,,,○,
70870,でしゃばる,,五自,W,1,,,,○,○,
70880,てじゅん,手順,名,H,3,,,○,,,○
70890,です,,助動,W,1,,,○,○,○,○
70900,てすう,手数,名,H,2,○,,○,,,
70910,てすうりょう,手数料,名,H,,,,○,,,○
70920,ですから,,接,W,1,◎,,○,○,○,○
70930,テスト,test,名・ス他,G,1,○,,○,○,○,
70940,てすり,手×摺,名,W,1,,,○,,○,○
70950,でぞめしき,出初め式,名,H,,,,,○,○,
70960,てだすけ,手助け,名,W,2,,,○,○,○,
70970,でたらめ,出×鱈目,名・形動,W,1,○,,○,○,○,
70980,てちがい,手違い,名,W,2,,,○,,,
70990,てちょう,手帳・手×帖,名,H,1,○,,○,○,○,○
71000,てつ,鉄,名,K,1,◎,,○,○,○,○
71010,でっかい,,形,W,1,,,,,○,
71020,てつがく,哲学,名,K,3,○,,○,○,,○
71030,てづかみ,手×掴み,名,W,2,,,,○,○,
71040,てっかん,鉄管,名,K,2,,,○,,,
71050,てつき,手つき,名,W,1,,,,○,○,
71060,てっきょう,鉄橋,名,K,1,○,,○,○,○,○
71070,てっきり,,副,W,2,,,,○,○,
71080,てっきん,鉄筋,名,K,2,,,○,,,
71090,てづくり,手作り,名,W,2,,,,○,○,
71100,てっこう,鉄鉱,名,K,2,,,○,,,
71110,てっこう,鉄鋼,名,K,,,,○,,,
71120,てつざい,鉄材,名,K,,,,○,,,
71130,てつせい,鉄製,名,K,,,,○,,,
71140,てつだい,〈手伝い〉,名,W,1,○,,,○,○,
71150,てつだう,《手伝う》,五自他,W,1,◎,,○,○,○,○
71160,てつづき,手続き,名,W,2,○,,○,,,○
71170,てってい,徹底,名・ス自,K,3,○,,○,,,○
71180,てっていてき,徹底的,形動,K,2,○,,○,,,
71190,てつどう,鉄道,名,K,1,◎,,○,○,○,○
71200,でっぱり,出っ張り,名,W,,,,,○,○,
71210,でっぱる,出っ張る,五自,W,1,,,,,○,
71220,てっぱん,鉄板,名,K,2,,,○,,,
71230,てつびん,鉄瓶,名,K,1,,,○,,,
71240,てっぺん,△天辺,名,K,1,,,,○,○,
71250,てつぼう,鉄棒,名,K,1,,,,○,○,
71260,てっぽう,鉄砲,名,K,1,○,,○,○,○,○
71270,てつや,徹夜,名・ス自,K,3,○,,,,,
71280,テトラポット,tetrapot,名,G,,,,,○,○,
71290,テニス,tennis,名,G,2,◎,,○,○,○,○
71300,てにもつ,手荷物,名,H,2,,,○,,,○
71310,てぬぐい,手×拭,名,W,1,○,,○,○,○,○
71320,てのひら,△掌,名,W,1,○,,,,○,
71330,ては,,連語,W,,,,○,,,
71340,てば,,連語,W,,,,○,,,
71350,では,,接,W,1,◎,,○,○,○,○
71360,デパート,←department store,名,G,1,◎,○,○,○,○,○
71370,てはい,手配,名,H,3,,,○,,,○
71380,てはず,手×筈,名,W,3,,,○,,,○
71390,てばなす,手放す,五他,W,2,,,○,,,
71400,ではまた,,連語,W,,,,○,,,
71410,てばやい,手早い・手速い,形,W,1,,,○,,,
71420,でばり,出張り,名,W,1,,,,,○,
71430,でばる,出張る,五自,W,1,,,,,○,
71440,てびき,手引き,名,W,2,○,,○,,,
71450,てびょうし,手拍子,名,H,1,,,,○,○,
71460,てぶくろ,手袋,名,W,1,◎,○,○,○,○,○
71470,デフレ,←deflation,名,G,3,,,○,,,○
71480,てほん,手本,名,H,1,○,,○,○,○,○
71490,てま,手間,名,W,2,,,○,,,○
71500,てまえ,手前,名,W,2,○,,○,○,○,○
71510,でまえ,出前,名,W,2,,,,○,○,
71520,でまかせ,出任せ,名・形動,W,2,,,,○,○,
71530,てまね,手〈真似〉,名,W,1,,,○,,,
71540,てまねき,手招き,名,W,1,,,○,○,○,
71550,てまり,手×鞠・手×毬,名,W,1,,,,,○,
71560,でむかえ,出迎え,名,W,1,○,,,○,○,
71570,でむかえる,出迎える,下一他,W,1,,,○,,,
71580,ても,,接助・連語,W,1,,,○,○,,○
71590,でも,,係助・副助・接助・接,W,1,◎,,○,○,○,○
71600,でも,,接,W,,,,○,,○,
71610,てもと,手元・手△許,名,W,2,○,,,,,
71620,てもらう,,連語,W,,,,,,,○
71630,てら,寺,名,W,1,◎,,○,○,○,○
71640,てらしあわせる,照らし合わせる,下一他,W,2,,,○,,,
71650,てらす,照らす,五他,W,1,◎,,○,○,○,○
71660,テラス,terrace,名,G,3,,,○,,,○
71670,てり,照り,名,W,1,,,,,○,
71680,デリー,delhi,名,G,,,,,○,,
71690,てる,照る,五自,W,1,◎,,○,○,○,○
71700,てる,（ている）,連語,W,1,,,,,○,
71710,でる,出る,下一自,W,1,◎,○,○,○,○,○
71720,てるちゃん,,名,W,,,,,,○,
71730,てるてるぼうず,照る照る坊主,名,H,1,,,,○,○,
71740,てれくさい,照れ臭い,形,W,2,,,,○,○,
71750,テレビ,←television,名,G,1,◎,○,○,○,○,○
71760,テレビきょく,テレビ局,名,H,,,,,○,○,
71770,てれる,照れる,下一自,W,2,,,,○,○,
71780,てわけ,手分け,名,W,1,,,○,○,○,
71790,てん,天,名,K,1,○,,○,○,○,○
71800,てん,点,名・接尾,K,1,◎,,○,○,○,○
71810,てん,店,名,K,2,○,○,○,○,○,
71820,てん,展,接尾,K,,,,○,,,
71830,でんあつ,電圧,名,K,3,,,○,,,○
71840,でんい,電位,名,K,,,,○,,,
71850,てんいん,店員,名,K,2,○,,○,,,○
71860,でんえん,田園,名,K,3,○,,,,,
71870,てんか,天下,名,K,2,,,,,○,
71880,でんか,殿下,名,K,1,,,,,○,
71890,でんか,電荷,名,K,,,,○,,,
71900,てんかい,展開,名・ス自他,K,3,○,,,,,
71910,でんかい,電界,名,K,,,,○,,,
71920,てんき,天気,名,K,1,◎,○,○,○,○,○
71930,でんき,電気,名,K,1,◎,○,○,○,○,○
71940,てんきあめ,天気雨,名,H,,,,,○,○,
71950,でんききかんしゃ,電気機関車,名,K,,,,,,○,
71960,でんきスタンド,電気スタンド,名,H,,,,○,,,
71970,でんきそうじき,電気掃除機,名,K,,,,○,,,
71980,でんきてき,電気的,形動,K,,,,○,,,
71990,でんきぶんかい,電気分解,名,K,,,,○,,,
72000,でんきゅう,電球,名,K,1,○,,,○,○,
72010,てんきよほう,天気予報,名,K,1,,,○,○,○,
72020,でんきりょくせん,電気力線,名,K,,,,○,,,
72030,てんきん,転勤,名・ス自,K,3,,,○,,,
72040,てんぐ,天×狗,名,K,2,,,,○,○,○
72050,てんぐちゃん,天狗ちゃん,名,H,,,,,,○,
72060,てんけい,典型,名,K,3,○,,,,,
72070,てんけいてき,典型的,形動,K,,,,○,,,
72080,てんけん,点検,名・ス他,K,3,,,○,,,○
72090,でんげん,電源,名,K,3,,,○,,,○
72100,てんこう,天候,名,K,2,○,,,,,
72110,てんこう,転向,名・ス自,K,3,,,○,,,
72120,でんこうばん,電光板,名,K,,,,,○,○,
72130,てんごく,天国,名,K,1,○,,,○,○,○
72140,でんごんばん,伝言板,名,K,,,,,○,○,
72150,てんさい,天才,名,K,2,○,,○,,,○
72160,てんさい,天災,名,K,3,○,,,,,
72170,てんし,天使,名,K,1,,,○,○,○,○
72180,てんじ,点字,名,K,3,,,,○,○,
72190,でんし,電子,名,K,3,○,,○,○,,○
72200,でんしはいち,電子配置,名,K,,,,○,,,
72210,でんしゃ,電車,名,K,1,◎,○,○,○,○,○
72220,てんじょう,天井,名,K,1,◎,,○,○,○,○
72230,でんしライター,電子ライター,名,H,,,,,,○,
72240,でんしんばしら,電信柱,名,H,1,,,,○,○,
72250,てんすう,点数,名,K,1,○,,○,○,○,○
72260,でんせつ,伝説,名,K,2,○,,,○,○,
72270,てんせん,点線,名,K,1,,,,○,○,
72280,でんせん,電線,名,K,1,○,,,,○,○
72290,でんせん,伝染,名・ス自,K,2,○,,○,,,
72300,でんせんびょう,伝染病,名,K,2,,,,○,○,
72310,でんたく,電卓,名,K,,,,,○,○,○
72320,でんち,電池,名,K,2,○,,,○,○,○
72330,でんちゅう,電柱,名,K,1,○,,,,,○
72340,てんてき,点滴,名,K,3,,,,,,○
72350,てんてこまい,天手古舞,名,W,2,,,,○,○,
72360,でんでんむし,でんでん虫,名,W,1,,,,○,○,
72370,テント,tent,名,G,1,○,,○,○,○,○
72380,でんと,,副,W,,,,,○,○,
72390,でんとう,電灯,名,K,1,◎,,○,○,○,○
72400,でんとう,伝統,名,K,3,○,,○,,,○
72410,でんとうてき,伝統的,形動,K,,,,○,,,
72420,てんとうむし,天道虫,名,H,1,,,,○,○,
72430,てんねん,天然,名,K,3,○,,○,,,○
72440,てんのう,天皇,名,K,1,◎,,○,○,,○
72450,てんのうたんじょうび,天皇誕生日,名,H,1,,,,○,○,
72460,でんぱ,電波,名,K,2,○,,,○,○,
72470,てんびん,天×秤,名,K,2,,,○,,,○
72480,てんぷく,転覆・×顛覆,名・ス自他,K,2,,,,○,○,
72490,テンプラ,〔葡〕tempero,名,G,1,○,,○,○,○,○
72500,でんぷん,×澱粉,名,K,2,,,○,,,
72510,テンポ,〔伊〕tempo,名,G,3,○,,,,,
72520,でんぽう,電報,名,K,1,◎,,○,○,○,○
72530,てんぼうだい,展望台,名,K,,,,,○,○,
72540,てんまり,,名,W,,,,,,○,
72550,てんもんがく,天文学,名,K,,,,○,,,○
72560,てんもんだい,天文台,名,K,2,,,,○,○,
72570,てんらんかい,展覧会,名,K,1,○,,○,○,○,○
72580,でんりゅう,電流,名,K,2,○,,○,,,
72590,でんりょく,電力,名,K,2,○,,,,,
72600,でんわ,電話,名,K,1,◎,○,○,○,○,○
72610,でんわちょう,電話帳,名,K,2,○,,○,,,
72620,でんわばんごう,電話番号,名,K,,,,○,,,
72630,でんわボックス,電話ボックス,名,H,1,,,,○,○,
72640,と,,格助・接助,W,1,,,○,○,○,○
72650,と,戸,名,W,1,◎,,○,○,○,○
72660,と,都,名,K,2,○,,○,○,,
72670,と,,接,W,,,,○,,,
72680,ど,,接助,W,1,,,,,○,
72690,ど,土,名,K,1,,○,,,,
72700,ど,度,名・接尾,K,1,◎,,○,○,○,○
72710,ドア,door,名,G,1,◎,○,○,○,○,○
72720,どあい,度合い,名,H,2,,,,,,○
72730,とい,×樋,名,W,1,,,,,○,
72740,とい,問い,名,W,1,◎,,○,○,○,○
72750,という,と言う,連語,W,,,,○,,,
72760,といかえす,問い返す,五他,W,1,,,○,,,
72770,といし,×砥石,名,W,2,,,○,,,○
72780,といただす,問い△質す,五他,W,,,,○,,,
72790,ドイツ,〔蘭〕Duits,名,G,2,○,,,○,,
72800,ドイツご,ドイツ語,名,H,2,○,,,,,
72810,といや,問屋,名,W,2,,,○,,,○
72820,トイレ,←toilet,名,G,2,○,,○,○,○,○
72830,トイレットぺーパー,toilet paper,名,G,2,,,○,,,
72840,とう,問う,五他,W,1,○,,○,○,○,○
72850,とう,頭,接尾,K,1,○,,○,○,○,○
72860,とう,塔,名,K,1,○,,○,○,○,○
72870,とう,等,名・接頭・接尾,K,1,○,,○,,○,○
72880,とう,島,名,K,2,○,,,,,
72890,とう,党,名,K,3,○,,○,○,,
72900,とう,糖,名,K,,,,○,,,
72910,どう,,副,W,1,◎,,○,○,○,○
72920,どう,胴,名,K,1,○,,○,○,○,
72930,どう,同,名,K,2,○,,○,,,
72940,どう,銅,名,K,2,◎,,○,○,,○
72950,どう,道,名,K,3,◎,,,○,,
72960,とうあん,答案,名,K,2,○,,,,○,
72970,とうあんようし,答案用紙,名,K,,,,,○,○,
72980,どうい,同意,名・ス自,K,2,○,,,○,○,
72990,どういう,,連体,W,,,,○,,,
73000,どういたしまして,どう致しまして,感,W,2,◎,,○,○,○,
73010,とういつ,統一,名・ス他,K,2,○,,○,,,○
73020,どういつ,同一,名,K,2,○,,,,,○
73030,とうえい,投影,名・ス他,K,3,,,○,,,
73040,どうか,,副,W,1,◎,,○,○,○,○
73050,どうか,同化,名・ス自他,K,3,,,○,,,
73060,とうかいどう,東海道,名,K,2,○,,,,,
73070,どうかしましたか,,感,W,,,,○,,,
73080,とうがらし,唐辛子・唐×芥子,名,H,2,,,○,,,○
73090,どうかん,同感,名・ス他,K,3,○,,,,,
73100,とうき,陶器,名,K,2,○,,○,,,○
73110,どうき,動機,名,K,3,○,,,,,
73120,とうぎゅう,闘牛,名,K,3,,,,○,○,
73130,とうぎゅうし,闘牛士,名,K,,,,,,○,
73140,とうきょう,東京,名,K,,,,○,○,○,
73150,とうきょうと,東京都,名,K,,,,○,,,
73160,どうぐ,道具,名,K,1,◎,,○,○,○,○
73170,とうげ,峠,名,W,2,○,,,,,
73180,とうけい,統計,名・ス他,K,2,○,,○,,,○
73190,とうこう,登校,名・ス自,K,2,○,,,,,
73200,どうさ,動作,名,K,1,○,,○,○,○,○
73210,とうざい,東西,名,K,2,○,,,,,
73220,とうさま,△父様,名,W,1,,,,,○,
73230,とうさん,△父さん,名,W,1,,,,,○,
73240,とうさんきつね,△父さん×狐,名,W,,,,,,○,
73250,とうさんたぬき,△父さん×狸,名,W,,,,,,○,
73260,とうし,投資,名・ス自,K,3,○,,○,,,
73270,とうじ,当時,名,K,2,○,,○,,,○
73280,どうし,同士,名,K,1,○,,○,,○,
73290,どうし,動詞,名,K,3,○,,,○,,
73300,どうじ,同時,名,K,2,◎,,○,○,○,○
73310,とうじつ,当日,名,K,2,○,,,,,
73320,どうして,,副・感,W,1,◎,○,○,○,○,○
73330,どうしても,,副,W,1,◎,,○,○,,○
73340,とうしょ,投書,名・ス自他,K,2,○,,,,,
73350,とうじょう,登場,名・ス自,K,2,○,,○,○,○,○
73360,どうじょう,同情,名・ス自,K,2,◎,,○,○,○,
73370,どうすう,同数,名,K,3,,,○,,,
73380,どうせ,,副,W,1,○,,○,,,
73390,とうせい,統制,名・ス他,K,3,○,,○,,,
73400,どうせい,同性,名,K,3,○,,,,,
73410,とうせん,当選,名・ス自,K,2,○,,,○,,
73420,とうぜん,当然,副,K,2,◎,,○,○,○,○
73430,どうぞ,,副,W,1,◎,○,○,○,○,○
73440,どうそう,同窓,名,K,2,,,,,,○
73450,どうぞう,銅像,名,K,1,,,,○,○,
73460,どうそうかい,同窓会,名,K,2,,,○,,,
73470,どうぞよろしく,,感,W,,,,○,,,
73480,とうだい,灯台,名,K,1,○,,,○,○,
73490,とうたつ,到達,名・ス自,K,3,○,,,,,
73500,とうちゃく,到着,名・ス自,K,2,◎,,○,○,○,○
73510,とうちゃん,△父ちゃん,名,W,,,,,,○,
73520,とうてい,到底,副,K,2,○,,○,○,○,○
73530,どうてん,同点,名,K,2,,,,○,○,
73540,とうとい,尊い・貴い,形,W,2,○,,○,,,
73550,とうとう,×滔×滔,トタル,K,1,,,,,,○
73560,とうとう,到頭,副,K,1,◎,,○,○,○,○
73570,どうどう,堂堂,副・トタル,K,2,○,,,○,○,
73580,どうとく,道徳,名,K,3,○,,○,○,○,○
73590,とうとぶ,尊ぶ・貴ぶ,五他,W,2,○,,,,,
73600,とうなん,盗難,名,K,3,,,,,,○
73610,とうなんぼうし,盗難防止,名,K,,,,○,,,
73620,とうに,△疾うに,連語,W,2,,,○,,,
73630,どうにか,,副,W,2,○,,○,○,○,
73640,どうにゅう,導入,名・ス他,K,3,,,○,,,
73650,とうにん,当人,名,K,2,○,,,,,
73660,とうばん,当番,名,K,1,,,○,○,○,○
73670,とうひょう,投票,名・ス自,K,2,○,,○,,,○
73680,とうふ,豆腐,名,K,1,○,,○,○,○,○
73690,とうぶ,東部,名,K,2,,,○,,,
73700,どうふう,同封,名・ス他,K,2,○,,,,,
73710,どうぶつ,動物,名,K,1,◎,○,○,○,○,○
73720,どうぶつえん,動物園,名,K,1,○,,○,○,○,
73730,とうぶん,当分,副,K,2,○,,○,○,○,○
73740,とうほく,東北,名,K,2,○,,○,○,,
73750,とうみん,冬眠,名・ス自,K,2,,,,○,○,
73760,とうめい,透明,名,K,3,○,,○,○,○,○
73770,どうめい,同盟,名・ス自,K,3,○,,,,,
73780,とうめいにんげん,透明人間,名,K,,,,,○,○,
73790,どうも,,副,W,1,◎,,○,○,○,○
73800,とうもろこし,〈玉×蜀×黍〉,名,H,1,,,,○,○,
73810,どうやら,,副,W,1,○,,○,,○,
73820,とうゆ,灯油,名,K,3,,,,○,○,
73830,とうよう,東洋,名,K,2,◎,,○,○,,○
73840,どうよう,童謡,名,K,1,,,,,○,
73850,どうよう,同様,形動,K,2,○,,○,,,
73860,どうよう,動揺,名・ス自,K,3,○,,,,,
73870,とうようかんじ,当用漢字,名,K,2,○,,,,,
73880,どうり,道理,名,K,3,,,,○,○,
73890,とうりょう,当量,名,K,,,,○,,,
73900,どうりょく,動力,名,K,2,○,,○,,,
73910,どうろ,道路,名,K,2,◎,,○,○,○,○
73920,とうろう,灯×篭,名,K,2,,,,○,○,
73930,どうろかんりぶ,道路管理部,名,K,,,,,,○,
73940,とうろく,登録,名・ス他,K,3,○,,○,,,○
73950,どうろこうじ,道路工事,名,K,,,,,○,○,
73960,どうろひょうしき,道路標識,名,K,,,,,○,○,
73970,とうろん,討論,名・ス自他,K,2,,,○,,,○
73980,どうわ,童話,名,K,1,○,,,,○,
73990,とお,十,名,W,1,◎,○,○,○,○,○
74000,とおい,遠い,形,W,1,◎,○,○,○,○,○
74010,とおか,十日,名,W,1,◎,○,○,○,○,○
74020,とおく,遠く,名,W,1,◎,○,○,○,○,○
74030,とおざかる,遠ざかる,五自,W,2,○,,○,,,○
74040,とおし,通し,名・副,W,1,,,,,○,
74050,どおし,通し,接尾,W,,,,○,,,
74060,とおす,通す・△徹す・△透す,五他,W,1,◎,,○,○,○,○
74070,トースト,toast,名,G,1,,,○,○,○,
74080,とおせんぼ,通せん△坊,名,H,1,,,,○,○,
74090,トーテムポール,totem pole,名,G,,,,,○,○,
74100,ドーナツ,doughnut,名,G,2,,,,○,○,
74110,とおまわり,遠回り・遠×廻り,名,W,1,,,○,○,○,○
74120,とおり,通り,名・接尾,W,1,◎,,○,○,○,○
74130,とおりあめ,通り雨,名,W,2,,,,○,○,
74140,とおりかかる,通り掛かる,五自,W,1,○,,,,○,
74150,とおりすぎる,通り過ぎる,上一自,W,1,○,,,,○,
74160,とおりぬける,通り抜ける,下一自,W,1,,,,○,○,
74170,とおる,通る・△徹る・△透る,五自,W,1,◎,,○,○,○,○
74180,とか,,副助,W,,,,○,○,,○
74190,とかい,都会,名,K,1,◎,,○,○,○,○
74200,とかく,×兎角,副,W,2,○,,○,,,
74210,とかげ,〈×蜥×蜴〉,名,W,1,,,,○,○,
74220,とかす,溶かす・解かす・×梳かす,五他,W,1,○,,○,○,○,○
74230,どかす,△退かす,五他,W,2,,,,○,○,
74240,とがった,尖った,連語,W,,,,○,,,○
74250,とがめる,×咎める,下一他,W,2,,,,○,○,
74260,とがらす,×尖らす,五他,W,1,,,,○,○,
74270,とがり,×尖り,名,W,1,,,,,○,
74280,とがる,×尖る,五自,W,1,○,,○,○,○,○
74290,どかん,土管,名,K,1,,,,○,○,
74300,とき,時,名,W,1,◎,○,○,○,○,○
74310,ときおり,時折,副,W,2,,,,,,○
74320,どきっ,,副,W,,,,,○,○,
74330,ときどき,時時,副・名,W,1,◎,○,○,○,○,○
74340,どきどき,,副・ス自,W,1,○,,,○,○,
74350,ときには,時には,連語,W,,,,○,,,○
74360,どきょう,度胸,名,K,2,,,,○,○,
74370,ときょうそう,徒競争,名,K,2,,,,○,○,
74380,どきりと,,副,W,,,,,○,○,
74390,とぎれる,,下一自,W,2,,,○,,,○
74400,とく,溶く,五他,W,1,,,○,,○,○
74410,とく,解く,五他,W,1,◎,,○,○,○,○
74420,とく,得,名,K,1,◎,,○,○,○,○
74430,とく,説く,五他,W,2,○,,○,,,
74440,とぐ,研ぐ・△磨ぐ,五他,W,1,○,,○,○,○,
